sample_id,dataset,source_leaf,label,status,baseline_code_result,notes
12_non_vulnerable_CWE121_S__f49cfc9f,cwe119,12_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
13_vulnerable_CWE121_Stack__02bc2c6d,cwe119,13_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
14_non_vulnerable_CWE121_S__52769ed1,cwe119,14_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
15_vulnerable_CWE121_Stack__5ff5ed54,cwe119,15_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
16_non_vulnerable_CWE121_S__9a9067dd,cwe119,16_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
17_vulnerable_CWE121_Stack__913289ee,cwe119,17_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
18_non_vulnerable_CWE121_S__dbe9e0ad,cwe119,18_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
19_vulnerable_CWE121_Stack__f33c8456,cwe119,19_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
20_vulnerable_CWE121_Stack__25f8951a,cwe119,20_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cwe119_20260728_195942,baseline Joern CSV staged
01_vulnerable_static_uint3__c5a67494,devign,01_vulnerable_static_uint32_t_sh_serial_ioport_rea.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
02_vulnerable_static_int_t__b1dd846d,devign,02_vulnerable_static_int_tight_compress_data.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
03_vulnerable_void_ff_insert_pad,devign,03_vulnerable_void_ff_insert_pad.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
04_non_vulnerable_static_a__463c7827,devign,04_non_vulnerable_static_av_always_inline_int_dnxhd_de.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
05_non_vulnerable_static_i__9a8fb55a,devign,05_non_vulnerable_static_int_slb_lookup.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
06_non_vulnerable_static_v__a157cf54,devign,06_non_vulnerable_static_void_test_qemu_strtosz_units.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
07_vulnerable_static_inlin__2adaf4d0,devign,07_vulnerable_static_inline_int_usb_bt_fifo_dequeu.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
08_non_vulnerable_build_tpm_tcpa,devign,08_non_vulnerable_build_tpm_tcpa.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
09_non_vulnerable_static_E__d3ba5765,devign,09_non_vulnerable_static_ExitStatus_gen_store_conditio.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
10_non_vulnerable_static_v__b45e50a6,devign,10_non_vulnerable_static_void_kvm_virtio_pci_vq_vector.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
11_non_vulnerable_vnc_disp__03e42972,devign,11_non_vulnerable_vnc_display_setup_auth.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
12_vulnerable_static_inlin__67b4aabd,devign,12_vulnerable_static_inline_void_qtrle_decode_2n4b.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
13_non_vulnerable_static_v__e51f4740,devign,13_non_vulnerable_static_void_sctlr_write.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
14_vulnerable_static_int_d__97b66b9f,devign,14_vulnerable_static_int_decode_mb_info.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
15_vulnerable_static_void___5f967877,devign,15_vulnerable_static_void_mm_rearm_timer.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
16_vulnerable_static_int_m__7ea0595d,devign,16_vulnerable_static_int_mxg_update_cache.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
17_vulnerable_static_void_FUNCC,devign,17_vulnerable_static_void_FUNCC.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
18_vulnerable_mpeg1_decode_sequence,devign,18_vulnerable_mpeg1_decode_sequence.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
19_non_vulnerable_const_ch__4db693ad,devign,19_non_vulnerable_const_char_get_feature_xml.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
20_non_vulnerable_static_i__2fb72abe,devign,20_non_vulnerable_static_int_vfio_set_resample_eventfd.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_devign_20260728_195942,baseline Joern CSV staged
01_vulnerable_expand_dynam__6fd823be,cvefixes,01_vulnerable_expand_dynamic_string_token.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
02_fixed_dl_dst_substitute,cvefixes,02_fixed_dl_dst_substitute.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
03_fixed_KPasswordDlg_keyPressed,cvefixes,03_fixed_KPasswordDlg_keyPressed.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
04_fixed_ia64_patch_rse,cvefixes,04_fixed_ia64_patch_rse.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
05_fixed_altivec_unavailab__b6025caa,cvefixes,05_fixed_altivec_unavailable_exception.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
06_vulnerable_altivec_unav__a6b48ec1,cvefixes,06_vulnerable_altivec_unavailable_exception.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
07_fixed_videobuf_vm_close,cvefixes,07_fixed_videobuf_vm_close.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
08_vulnerable_videobuf_vm_close,cvefixes,08_vulnerable_videobuf_vm_close.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
09_fixed_netlbl_cipsov4_add_common,cvefixes,09_fixed_netlbl_cipsov4_add_common.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
10_vulnerable_netlbl_cipso__17bfddfb,cvefixes,10_vulnerable_netlbl_cipsov4_add_common.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
11_fixed_generic_perform_write,cvefixes,11_fixed_generic_perform_write.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
12_vulnerable_generic_perform_write,cvefixes,12_vulnerable_generic_perform_write.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
13_fixed_pango_glyph_string_set_size,cvefixes,13_fixed_pango_glyph_string_set_size.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
14_vulnerable_pango_glyph___205e0f0d,cvefixes,14_vulnerable_pango_glyph_string_set_size.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
15_fixed_decode_entities,cvefixes,15_fixed_decode_entities.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
16_vulnerable_decode_entities,cvefixes,16_vulnerable_decode_entities.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
17_vulnerable_eval_js,cvefixes,17_vulnerable_eval_js.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
18_vulnerable_try_read_command,cvefixes,18_vulnerable_try_read_command.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
19_fixed_try_read_network,cvefixes,19_fixed_try_read_network.c,0,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
20_vulnerable_irssi_ssl_handshake,cvefixes,20_vulnerable_irssi_ssl_handshake.c,1,staged,D:\capstone-project-26t2-9900-t17a-almond\outputs\run_final60_code_cvefixes_20260728_195942,baseline Joern CSV staged
