"source_file","variant_file","action","graph_action","expected_graph_effect","applied_count","status","notes","deepwukong_command"
"input_sources/03_codexglue_devign_14215.c","artifacts/perturbed_sources/run_20260710/sources/03_codexglue_devign_14215__control_wrapper.c","control_wrapper","control_edge_add","adds if(1) control structure around existing statements, usually affecting CONTROLS edges","1","ran","wrapped one safe single-line statement with an if (1) block","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/03_codexglue_devign_14215__control_wrapper.c --output ../../outputs/run_20260710/perturbed_runs/03_codexglue_devign_14215__control_wrapper --no-timestamp-output"
"input_sources/03_codexglue_devign_14215.c","","temp_variable_split","data_edge_rewire","rewrites simple assignments through temporary variables, usually affecting DEF/USE/REACHES edges","0","skipped","no simple integer-like assignment candidate found",""
"input_sources/04_codexglue_devign_13727.c","artifacts/perturbed_sources/run_20260710/sources/04_codexglue_devign_13727__dead_statement.c","dead_statement","node_add","adds harmless statement nodes and local DEF/USE-like structure near function entry","1","ran","inserted one harmless dummy integer statement pair after first function brace","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/04_codexglue_devign_13727__dead_statement.c --output ../../outputs/run_20260710/perturbed_runs/04_codexglue_devign_13727__dead_statement --no-timestamp-output"
"input_sources/04_codexglue_devign_13727.c","artifacts/perturbed_sources/run_20260710/sources/04_codexglue_devign_13727__control_wrapper.c","control_wrapper","control_edge_add","adds if(1) control structure around existing statements, usually affecting CONTROLS edges","1","ran","wrapped one safe single-line statement with an if (1) block","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/04_codexglue_devign_13727__control_wrapper.c --output ../../outputs/run_20260710/perturbed_runs/04_codexglue_devign_13727__control_wrapper --no-timestamp-output"
"input_sources/04_codexglue_devign_13727.c","","temp_variable_split","data_edge_rewire","rewrites simple assignments through temporary variables, usually affecting DEF/USE/REACHES edges","0","skipped","no simple integer-like assignment candidate found",""
"input_sources/05_codexglue_devign_6599.c","artifacts/perturbed_sources/run_20260710/sources/05_codexglue_devign_6599__dead_statement.c","dead_statement","node_add","adds harmless statement nodes and local DEF/USE-like structure near function entry","1","ran","inserted one harmless dummy integer statement pair after first function brace","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/05_codexglue_devign_6599__dead_statement.c --output ../../outputs/run_20260710/perturbed_runs/05_codexglue_devign_6599__dead_statement --no-timestamp-output"
"input_sources/05_codexglue_devign_6599.c","artifacts/perturbed_sources/run_20260710/sources/05_codexglue_devign_6599__control_wrapper.c","control_wrapper","control_edge_add","adds if(1) control structure around existing statements, usually affecting CONTROLS edges","1","ran","wrapped one safe single-line statement with an if (1) block","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/05_codexglue_devign_6599__control_wrapper.c --output ../../outputs/run_20260710/perturbed_runs/05_codexglue_devign_6599__control_wrapper --no-timestamp-output"
"input_sources/05_codexglue_devign_6599.c","artifacts/perturbed_sources/run_20260710/sources/05_codexglue_devign_6599__temp_variable_split.c","temp_variable_split","data_edge_rewire","rewrites simple assignments through temporary variables, usually affecting DEF/USE/REACHES edges","1","ran","split one simple assignment through a temporary integer variable","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/05_codexglue_devign_6599__temp_variable_split.c --output ../../outputs/run_20260710/perturbed_runs/05_codexglue_devign_6599__temp_variable_split --no-timestamp-output"
"input_sources/06_codexglue_devign_15513.c","artifacts/perturbed_sources/run_20260710/sources/06_codexglue_devign_15513__dead_statement.c","dead_statement","node_add","adds harmless statement nodes and local DEF/USE-like structure near function entry","1","ran","inserted one harmless dummy integer statement pair after first function brace","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/06_codexglue_devign_15513__dead_statement.c --output ../../outputs/run_20260710/perturbed_runs/06_codexglue_devign_15513__dead_statement --no-timestamp-output"
"input_sources/06_codexglue_devign_15513.c","artifacts/perturbed_sources/run_20260710/sources/06_codexglue_devign_15513__control_wrapper.c","control_wrapper","control_edge_add","adds if(1) control structure around existing statements, usually affecting CONTROLS edges","1","ran","wrapped one safe single-line statement with an if (1) block","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/06_codexglue_devign_15513__control_wrapper.c --output ../../outputs/run_20260710/perturbed_runs/06_codexglue_devign_15513__control_wrapper --no-timestamp-output"
"input_sources/06_codexglue_devign_15513.c","","temp_variable_split","data_edge_rewire","rewrites simple assignments through temporary variables, usually affecting DEF/USE/REACHES edges","0","skipped","no simple integer-like assignment candidate found",""
"input_sources/07_codexglue_devign_4012.c","artifacts/perturbed_sources/run_20260710/sources/07_codexglue_devign_4012__dead_statement.c","dead_statement","node_add","adds harmless statement nodes and local DEF/USE-like structure near function entry","1","ran","inserted one harmless dummy integer statement pair after first function brace","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/07_codexglue_devign_4012__dead_statement.c --output ../../outputs/run_20260710/perturbed_runs/07_codexglue_devign_4012__dead_statement --no-timestamp-output"
"input_sources/07_codexglue_devign_4012.c","artifacts/perturbed_sources/run_20260710/sources/07_codexglue_devign_4012__control_wrapper.c","control_wrapper","control_edge_add","adds if(1) control structure around existing statements, usually affecting CONTROLS edges","1","ran","wrapped one safe single-line statement with an if (1) block","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/07_codexglue_devign_4012__control_wrapper.c --output ../../outputs/run_20260710/perturbed_runs/07_codexglue_devign_4012__control_wrapper --no-timestamp-output"
"input_sources/07_codexglue_devign_4012.c","","temp_variable_split","data_edge_rewire","rewrites simple assignments through temporary variables, usually affecting DEF/USE/REACHES edges","0","skipped","no simple integer-like assignment candidate found",""
"input_sources/08_codexglue_devign_17947.c","artifacts/perturbed_sources/run_20260710/sources/08_codexglue_devign_17947__dead_statement.c","dead_statement","node_add","adds harmless statement nodes and local DEF/USE-like structure near function entry","1","ran","inserted one harmless dummy integer statement pair after first function brace","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/08_codexglue_devign_17947__dead_statement.c --output ../../outputs/run_20260710/perturbed_runs/08_codexglue_devign_17947__dead_statement --no-timestamp-output"
"input_sources/08_codexglue_devign_17947.c","artifacts/perturbed_sources/run_20260710/sources/08_codexglue_devign_17947__control_wrapper.c","control_wrapper","control_edge_add","adds if(1) control structure around existing statements, usually affecting CONTROLS edges","1","ran","wrapped one safe single-line statement with an if (1) block","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/08_codexglue_devign_17947__control_wrapper.c --output ../../outputs/run_20260710/perturbed_runs/08_codexglue_devign_17947__control_wrapper --no-timestamp-output"
"input_sources/08_codexglue_devign_17947.c","","temp_variable_split","data_edge_rewire","rewrites simple assignments through temporary variables, usually affecting DEF/USE/REACHES edges","0","skipped","no simple integer-like assignment candidate found",""
"input_sources/09_codexglue_devign_25916.c","artifacts/perturbed_sources/run_20260710/sources/09_codexglue_devign_25916__dead_statement.c","dead_statement","node_add","adds harmless statement nodes and local DEF/USE-like structure near function entry","1","ran","inserted one harmless dummy integer statement pair after first function brace","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/09_codexglue_devign_25916__dead_statement.c --output ../../outputs/run_20260710/perturbed_runs/09_codexglue_devign_25916__dead_statement --no-timestamp-output"
"input_sources/09_codexglue_devign_25916.c","artifacts/perturbed_sources/run_20260710/sources/09_codexglue_devign_25916__control_wrapper.c","control_wrapper","control_edge_add","adds if(1) control structure around existing statements, usually affecting CONTROLS edges","1","ran","wrapped one safe single-line statement with an if (1) block","python baselines/deepwukong/scripts/run_demo_pipeline.py --input ../../artifacts/perturbed_sources/run_20260710/sources/09_codexglue_devign_25916__control_wrapper.c --output ../../outputs/run_20260710/perturbed_runs/09_codexglue_devign_25916__control_wrapper --no-timestamp-output"
"input_sources/09_codexglue_devign_25916.c","","temp_variable_split","data_edge_rewire","rewrites simple assignments through temporary variables, usually affecting DEF/USE/REACHES edges","0","skipped","no simple integer-like assignment candidate found",""
