sample,function,true_label,status,label,correct,prob,nodes,edges,xfg_count,winner_category,winner_key_line,winner_raw_nodes,winner_nodes,winner_fallback
devign__03_vulnerable_void_ff_insert_pad,ff_insert_pad,1,ok,0,0,0.0002570701763033867,14,36,13,arith,17,5,5,winner_xfg
devign__04_non_vulnerable_static_av_always_inline_int_dnxhd_de,dnxhd_decode_dct_block,0,ok,0,1,0.07784902304410934,67,160,49,array,119,18,18,winner_xfg
devign__05_non_vulnerable_static_int_slb_lookup,slb_lookup,0,ok,1,0,0.9999996423721313,26,29,4,array,23,4,4,winner_xfg
devign__06_non_vulnerable_static_void_test_qemu_strtosz_units,test_qemu_strtosz_units,0,ok,0,1,0.001614067587070167,25,24,8,arith,89,3,3,winner_xfg
devign__07_vulnerable_static_inline_int_usb_bt_fifo_dequeu,usb_bt_fifo_dequeue,1,ok,0,0,6.548671941073826e-20,18,45,20,array,17,17,17,winner_xfg
devign__08_non_vulnerable_build_tpm_tcpa,unknown,0,ok,0,1,5.65599330002442e-05,10,14,4,ptr,11,3,3,winner_xfg
devign__09_non_vulnerable_static_ExitStatus_gen_store_conditio,gen_store_conditional,0,no_xfg,0,1,0.0,7,10,0,,,0,0,
devign__10_non_vulnerable_static_void_kvm_virtio_pci_vq_vector,kvm_virtio_pci_vq_vector_release,0,ok,0,1,6.079402936620681e-08,11,12,7,ptr,25,5,5,winner_xfg
devign__11_non_vulnerable_vnc_display_setup_auth,if,0,ok,0,1,3.628031919333807e-08,37,54,15,ptr,97,8,8,winner_xfg
devign__12_vulnerable_static_inline_void_qtrle_decode_2n4b,qtrle_decode_2n4bpp,1,ok,0,0,3.4068946774823416e-08,36,131,35,array,11,29,29,winner_xfg
devign__13_non_vulnerable_static_void_sctlr_write,sctlr_write,0,ok,0,1,6.299678556587196e-10,7,9,2,ptr,11,6,6,winner_xfg
devign__14_vulnerable_static_int_decode_mb_info,decode_mb_info,1,ok,0,0,0.22351022064685822,66,217,57,ptr,21,7,7,winner_xfg
devign__15_vulnerable_static_void_mm_rearm_timer,mm_rearm_timer,1,ok,0,0,8.52570155984722e-06,9,10,2,call,31,7,7,winner_xfg
devign__16_vulnerable_static_int_mxg_update_cache,mxg_update_cache,1,ok,0,0,1.86682691527551e-09,16,41,16,ptr,21,11,11,winner_xfg
devign__17_vulnerable_static_void_FUNCC,FUNCC,1,ok,0,0,0.0760723277926445,5,7,5,arith,5,4,4,winner_xfg
devign__18_vulnerable_mpeg1_decode_sequence,mpeg1_decode_sequence,1,ok,1,1,0.8990588188171387,59,149,55,array,115,17,17,winner_xfg
devign__19_non_vulnerable_const_char_get_feature_xml,unknown,0,ok,0,1,3.863283927785233e-05,27,47,13,call,29,24,24,winner_xfg
devign__20_non_vulnerable_static_int_vfio_set_resample_eventfd,vfio_set_resample_eventfd,0,ok,0,1,0.11510657519102097,19,22,10,ptr,27,5,5,winner_xfg
