dataset,sample_id,source_file,action,count,applied_count,generation_status,run_status,flipped,base_label,variant_label,base_probability,variant_probability,delta_probability,base_nodes,variant_nodes,delta_nodes,base_edges,variant_edges,delta_edges,baseline_run_dir,variant_run_dir,variant_file,notes,error
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,xfg_targeted_dead_code,3,3,generated,ran,False,1,1,1.0,1.0,0.0,5566,5586,20,11864,11902,38,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__xfg_targeted_dead_code__c3,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__xfg_targeted_dead_code__c3.c,inserted 3 unreachable no-op block(s) near XFG-relevant target lines,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,xfg_targeted_dead_code,5,5,generated,ran,False,1,1,1.0,1.0,0.0,5566,5618,52,11864,11974,110,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__xfg_targeted_dead_code__c5,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__xfg_targeted_dead_code__c5.c,inserted 5 unreachable no-op block(s) near XFG-relevant target lines,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,range_clamp,1,1,generated,ran,False,1,1,1.0,1.0,0.0,5566,5597,31,11864,11959,95,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__range_clamp__c1,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__range_clamp__c1.c,clamped 1 sensitive sink size/count argument(s) through bounded local variables,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,range_clamp,2,2,generated,ran,False,1,1,1.0,1.0,0.0,5566,5628,62,11864,12054,190,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__range_clamp__c2,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__range_clamp__c2.c,clamped 2 sensitive sink size/count argument(s) through bounded local variables,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,range_clamp,3,3,generated,ran,False,1,1,1.0,1.0,0.0,5566,5659,93,11864,12149,285,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__range_clamp__c3,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__range_clamp__c3.c,clamped 3 sensitive sink size/count argument(s) through bounded local variables,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,range_clamp,5,5,generated,ran,False,1,1,1.0,1.0,0.0,5566,5719,153,11864,12287,423,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__range_clamp__c5,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__range_clamp__c5.c,clamped 5 sensitive sink size/count argument(s) through bounded local variables,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,safe_source_substitution,1,1,generated,ran,False,1,1,1.0,1.0,0.0,5566,5574,8,11864,11879,15,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__safe_source_substitution__c1,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__safe_source_substitution__c1.c,replaced 1 nested pointer source expression(s) with guarded fallback expressions,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,safe_source_substitution,2,1,partial,run_partial,False,1,1,1.0,1.0,0.0,5566,5574,8,11864,11879,15,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__safe_source_substitution__c2,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__safe_source_substitution__c2.c,replaced 1 nested pointer source expression(s) with guarded fallback expressions,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,sink_bound_guard,1,1,generated,ran,False,1,1,1.0,1.0,0.0,5566,5589,23,11864,11925,61,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__sink_bound_guard__c1,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__sink_bound_guard__c1.c,inserted 1 early-return bound guard(s) before sensitive sink calls,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,sink_bound_guard,2,2,generated,ran,False,1,1,1.0,1.0,0.0,5566,5607,41,11864,11965,101,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__sink_bound_guard__c2,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__sink_bound_guard__c2.c,inserted 2 early-return bound guard(s) before sensitive sink calls,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,sink_bound_guard,3,3,generated,ran,False,1,1,1.0,1.0,0.0,5566,5625,59,11864,11961,97,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__sink_bound_guard__c3,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__sink_bound_guard__c3.c,inserted 3 early-return bound guard(s) before sensitive sink calls,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,sink_bound_guard,5,5,generated,ran,False,1,1,1.0,1.0,0.0,5566,5654,88,11864,12023,159,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__sink_bound_guard__c5,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__sink_bound_guard__c5.c,inserted 5 early-return bound guard(s) before sensitive sink calls,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,postcondition_validation,1,0,skipped,ran,,,,,,,,,,,,,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,,,no matching *_count/*_read pair found for postcondition validation,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,integer_overflow_guard,1,0,skipped,ran,,,,,,,,,,,,,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,,,no allocation size addition or multiplication expression found,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,array_index_bound_guard,1,1,generated,ran,False,1,1,1.0,1.0,0.0,5566,5592,26,11864,11908,44,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__array_index_bound_guard__c1,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__array_index_bound_guard__c1.c,wrapped 1 array write(s) with index lower/upper bound guards,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,array_index_bound_guard,2,2,generated,ran,False,1,1,1.0,1.0,0.0,5566,5615,49,11864,11942,78,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__array_index_bound_guard__c2,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__array_index_bound_guard__c2.c,wrapped 2 array write(s) with index lower/upper bound guards,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,array_index_bound_guard,3,3,generated,ran,False,1,1,1.0,1.0,0.0,5566,5641,75,11864,11986,122,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__array_index_bound_guard__c3,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__array_index_bound_guard__c3.c,wrapped 3 array write(s) with index lower/upper bound guards,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,array_index_bound_guard,5,5,generated,ran,False,1,1,1.0,1.0,0.0,5566,5689,123,11864,12060,196,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\perturbed\01_vulnerable_989__array_index_bound_guard__c5,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\sources\01_vulnerable_989__array_index_bound_guard__c5.c,wrapped 5 array write(s) with index lower/upper bound guards,
cwe119_vulnerable,01_vulnerable_989,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\input_sources\cwe119\vulnerable\01_vulnerable_989.c,wide_char_sink_guard,1,0,skipped,ran,,,,,,,,,,,,,C:\Users\weijt\Desktop\UNSW\COMP9900\project\capstone-project-26t2-9900-t17a-almond\outputs\generated\full_budget_search_20260717\cwe119_vulnerable\runs\baseline\01_vulnerable_989,,,no wcscat/wcscpy wide-character sink found,
