dataset,sample_id,label,label_name,source_kind,function_name,original_path,staged_file,source_sha256,source_lines,source_bytes
cwe119,11_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,vulnerable,CWE119_source_code,CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_82_bad,Z:\Users\paris\Desktop\WuKong\baselines\deepwukong_xfg_baseline\data\CWE119\source-code\119-10000-c\testcases\000\065\653\CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_82_bad.cpp,input_sources/cwe119/11_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,c5e14a936bafb2408b77fd4e3c4cbe16a1b88758e2864301cb7c79c72dc71bdf,37,1189
cwe119,12_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,0,non_vulnerable,CWE119_source_code,CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_82_goodG2B,Z:\Users\paris\Desktop\WuKong\baselines\deepwukong_xfg_baseline\data\CWE119\source-code\119-10000-c\testcases\000\065\653\CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_82_goodG2B.cpp,input_sources/cwe119/12_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,f83dbd514cb7c92a40a232e3f6979028d5102dabc97f9c8c540a21db0999e980,37,1203
cwe119,13_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,vulnerable,CWE119_source_code,CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_83_bad,Z:\Users\paris\Desktop\WuKong\baselines\deepwukong_xfg_baseline\data\CWE119\source-code\119-10000-c\testcases\000\065\654\CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_83_bad.cpp,input_sources/cwe119/13_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,2f178d8d6771ae842b2cb247485f9a73115adc6590eb5814a761a7867e77230c,43,1641
cwe119,14_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,0,non_vulnerable,CWE119_source_code,CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_83_goodG2B,Z:\Users\paris\Desktop\WuKong\baselines\deepwukong_xfg_baseline\data\CWE119\source-code\119-10000-c\testcases\000\065\654\CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_83_goodG2B.cpp,input_sources/cwe119/14_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,0dbe25976cc08a8a22c714352ccd090558c36350e7d5d19408ac27a74c7154f8,43,1674
cwe119,15_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,vulnerable,CWE119_source_code,CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_84_bad,Z:\Users\paris\Desktop\WuKong\baselines\deepwukong_xfg_baseline\data\CWE119\source-code\119-10000-c\testcases\000\065\655\CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_84_bad.cpp,input_sources/cwe119/15_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,9b1cadb36cde7f76d92d2d2c8987e3db4d72064888d6dcfc938eed7f8b94c99b,43,1666
cwe119,16_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,0,non_vulnerable,CWE119_source_code,CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_84_goodG2B,Z:\Users\paris\Desktop\WuKong\baselines\deepwukong_xfg_baseline\data\CWE119\source-code\119-10000-c\testcases\000\065\655\CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_memmove_84_goodG2B.cpp,input_sources/cwe119/16_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,a18e0a0ad42fb2285358df31f52bc0e520715900950030135a0369c96deb9bb8,43,1699
cwe119,17_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,vulnerable,CWE119_source_code,CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_81_bad,Z:\Users\paris\Desktop\WuKong\baselines\deepwukong_xfg_baseline\data\CWE119\source-code\119-10000-c\testcases\000\065\700\CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_81_bad.cpp,input_sources/cwe119/17_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,537c0450319b165314606d15493d98bf5993521f2235ab190a5a231f14b96e51,37,1189
cwe119,18_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,0,non_vulnerable,CWE119_source_code,CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_81_goodG2B,Z:\Users\paris\Desktop\WuKong\baselines\deepwukong_xfg_baseline\data\CWE119\source-code\119-10000-c\testcases\000\065\700\CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_81_goodG2B.cpp,input_sources/cwe119/18_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,ea32f57829d252bc155e44808565be5c372dce538b4248429f317f9769ac4848,37,1203
cwe119,19_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,vulnerable,CWE119_source_code,CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_82_bad,Z:\Users\paris\Desktop\WuKong\baselines\deepwukong_xfg_baseline\data\CWE119\source-code\119-10000-c\testcases\000\065\701\CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_82_bad.cpp,input_sources/cwe119/19_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,6a3d946a077f418779d2be58c5d11e8db5e22192cf3c4f9a584576ab704cdb44,37,1181
cwe119,20_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,1,vulnerable,CWE119_source_code,CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_83_bad,Z:\Users\paris\Desktop\WuKong\baselines\deepwukong_xfg_baseline\data\CWE119\source-code\119-10000-c\testcases\000\065\702\CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_ncat_83_bad.cpp,input_sources/cwe119/20_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,3ff8e5fc756e9cc0a451de04af0e9ac556fbcf7d886b72e52dc5edaa2752d1c1,43,1624
devign,01_vulnerable_static_uint32_t_sh_serial_ioport_rea,1,vulnerable,devign_function_json,static_uint32_t_sh_serial_ioport_read,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=5536,input_sources/devign/01_vulnerable_static_uint32_t_sh_serial_ioport_rea.c,0dbab39ce2c13ffa4f745eceefe9677431f48f2a8cab10a3edcf36b17ea0f9ce,204,2443
devign,02_vulnerable_static_int_tight_compress_data,1,vulnerable,devign_function_json,static_int_tight_compress_data,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=21395,input_sources/devign/02_vulnerable_static_int_tight_compress_data.c,26d0250821807fe7080966c2e39e75f3661fe941c9337e1bdfc1e7ba6139eaf3,84,1347
devign,03_vulnerable_void_ff_insert_pad,1,vulnerable,devign_function_json,void_ff_insert_pad,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=6776,input_sources/devign/03_vulnerable_void_ff_insert_pad.c,70bc51859149efa99f49886d936050bc34ce1f8a602e52f065250cb44f3c85ac,40,780
devign,04_non_vulnerable_static_av_always_inline_int_dnxhd_de,0,non_vulnerable,devign_function_json,static_av_always_inline_int_dnxhd_decode_dct_block,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=9240,input_sources/devign/04_non_vulnerable_static_av_always_inline_int_dnxhd_de.c,4882d8065d7877b1289548d3c43e5ab42d8796f6c5f0995fa42c08dbfcd3ad17,200,3270
devign,05_non_vulnerable_static_int_slb_lookup,0,non_vulnerable,devign_function_json,static_int_slb_lookup,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=26014,input_sources/devign/05_non_vulnerable_static_int_slb_lookup.c,6b5303b6a335d4fcc68f79625877879407f962d2489a966499d756e3dfe619dc,118,1895
devign,06_non_vulnerable_static_void_test_qemu_strtosz_units,0,non_vulnerable,devign_function_json,static_void_test_qemu_strtosz_units,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=15448,input_sources/devign/06_non_vulnerable_static_void_test_qemu_strtosz_units.c,51b4b71b9a77ce62461da741130a05f825f46369512c9236f73ece116565f84e,92,1219
devign,07_vulnerable_static_inline_int_usb_bt_fifo_dequeu,1,vulnerable,devign_function_json,static_inline_int_usb_bt_fifo_dequeue,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=144,input_sources/devign/07_vulnerable_static_inline_int_usb_bt_fifo_dequeu.c,d926a037cb73dab65c6bf8b0fa8dcff0c59ef0ab27738f62aff8bd5341fe3d42,56,709
devign,08_non_vulnerable_build_tpm_tcpa,0,non_vulnerable,devign_function_json,build_tpm_tcpa,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=24693,input_sources/devign/08_non_vulnerable_build_tpm_tcpa.c,d85b9a689ff850dc88ee715c5e55720f8310ca5fc27cdd4f05bf04b0f1dde404,46,1057
devign,09_non_vulnerable_static_ExitStatus_gen_store_conditio,0,non_vulnerable,devign_function_json,static_ExitStatus_gen_store_conditional,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=9631,input_sources/devign/09_non_vulnerable_static_ExitStatus_gen_store_conditio.c,8667ae79933218d0232343c69fde9c7764f7cb7b93f82c9d85b3761b7464e753,110,1788
devign,10_non_vulnerable_static_void_kvm_virtio_pci_vq_vector,0,non_vulnerable,devign_function_json,static_void_kvm_virtio_pci_vq_vector_release,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=17254,input_sources/devign/10_non_vulnerable_static_void_kvm_virtio_pci_vq_vector.c,4dabb727c17a46e669b7137c20feed3aa67500943b6b9dc70cfaba56ce5acaea,36,667
devign,11_non_vulnerable_vnc_display_setup_auth,0,non_vulnerable,devign_function_json,vnc_display_setup_auth,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=21269,input_sources/devign/11_non_vulnerable_vnc_display_setup_auth.c,79ae0b6161a7301e937438a9d6cc889c14cf9a78bfb28ab7a7d7b1ee7da2f078,174,2841
devign,12_vulnerable_static_inline_void_qtrle_decode_2n4b,1,vulnerable,devign_function_json,static_inline_void_qtrle_decode_2n4bpp,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=24241,input_sources/devign/12_vulnerable_static_inline_void_qtrle_decode_2n4b.c,b6109cd87dc41763007bcb7ebcd64179babe70b6305690beab8a9bf9f38bdf0b,114,2538
devign,13_non_vulnerable_static_void_sctlr_write,0,non_vulnerable,devign_function_json,static_void_sctlr_write,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=15706,input_sources/devign/13_non_vulnerable_static_void_sctlr_write.c,d793969a9ef72356dcc1e109d2d4efe12ded4333d1bbf2abb6cc597654e9f6da,34,536
devign,14_vulnerable_static_int_decode_mb_info,1,vulnerable,devign_function_json,static_int_decode_mb_info,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=8708,input_sources/devign/14_vulnerable_static_int_decode_mb_info.c,73f803d12d1548cac95b0c922616aeebb86c1bc7617f89d5908c81faa7064896,226,4731
devign,15_vulnerable_static_void_mm_rearm_timer,1,vulnerable,devign_function_json,static_void_mm_rearm_timer,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=2499,input_sources/devign/15_vulnerable_static_void_mm_rearm_timer.c,316ef5e98507177a556e6450f967e7c95f0f2e0171f58ca0609292faaf7f2924,44,670
devign,16_vulnerable_static_int_mxg_update_cache,1,vulnerable,devign_function_json,static_int_mxg_update_cache,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=3599,input_sources/devign/16_vulnerable_static_int_mxg_update_cache.c,f2d550bef41a61e3a69caa56faa51bc8b7f7a8429cbeb5ded214a1c81de7ce3f,58,974
devign,17_vulnerable_static_void_FUNCC,1,vulnerable,devign_function_json,static_void_FUNCC,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=18828,input_sources/devign/17_vulnerable_static_void_FUNCC.c,fece219993a540091973b52ac332fed350185f1af6349e3973f80ab22e5348b9,22,511
devign,18_vulnerable_mpeg1_decode_sequence,1,vulnerable,devign_public_cpg,mpeg1_decode_sequence,Z:/Users/paris/Desktop/9900_product/devign-scanner/data_collections/devign_public_cpg/raw/function.json#commit=68f593b48433842f3407586679fe07f3e5199ab9;target=0,input_sources/devign/18_vulnerable_mpeg1_decode_sequence.c,9eeaa1cc7d6aaa01061c6d811408ca729a6f5ab60f6b5b37a76e096382eb76d0,175,3417
devign,19_non_vulnerable_const_char_get_feature_xml,0,non_vulnerable,devign_function_json,const_char_get_feature_xml,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=17317,input_sources/devign/19_non_vulnerable_const_char_get_feature_xml.c,3f5824e0fba93022cdb1a478e7dcbd92cded8b1f4f76727cb26ba37778e3a65b,84,1289
devign,20_non_vulnerable_static_int_vfio_set_resample_eventfd,0,non_vulnerable,devign_function_json,static_int_vfio_set_resample_eventfd,Z:\Users\paris\Desktop\9900_product\devign-scanner\data_collections\devign_public_cpg\raw\function.json#index=16826,input_sources/devign/20_non_vulnerable_static_int_vfio_set_resample_eventfd.c,0b7d4ecf633fc7fe16d453693e3481be8240c8379422c02f61e0c5f851d61b87,48,790
cvefixes,01_vulnerable_expand_dynamic_string_token,1,vulnerable,CVEfixes_method_change,expand_dynamic_string_token,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=142662907295132,input_sources/cvefixes/01_vulnerable_expand_dynamic_string_token.c,c51ebcf44aa8c601e8c154e339040a33631a9dc28105ee8ec77bccae4a6b673a,28,837
cvefixes,02_fixed_dl_dst_substitute,0,fixed,CVEfixes_method_change,_dl_dst_substitute,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=165683083996405,input_sources/cvefixes/02_fixed_dl_dst_substitute.c,2531bd13ffd1142b3f4ad4fe0ccf33063653d791af8f37f075e6a95312f03698,73,1901
cvefixes,03_fixed_KPasswordDlg_keyPressed,0,fixed,CVEfixes_method_change,KPasswordDlg::keyPressed,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=91259584277042,input_sources/cvefixes/03_fixed_KPasswordDlg_keyPressed.c,b8ac857f43292ea5df2c098129f32ebafcb385753e0661161bfb7ec850d55bbc,48,859
cvefixes,04_fixed_ia64_patch_rse,0,fixed,CVEfixes_method_change,ia64_patch_rse,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=39073313208548,input_sources/cvefixes/04_fixed_ia64_patch_rse.c,7dfd2493d847981cb42c780f6e218e9fb19733a283450a3477edc7f7c272329f,17,277
cvefixes,05_fixed_altivec_unavailable_exception,0,fixed,CVEfixes_method_change,altivec_unavailable_exception,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=258442709464799,input_sources/cvefixes/05_fixed_altivec_unavailable_exception.c,62a78f6af355c587c47e99950b2a92431cea7ef16967769cc283d6da648d8839,14,441
cvefixes,06_vulnerable_altivec_unavailable_exception,1,vulnerable,CVEfixes_method_change,altivec_unavailable_exception,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=49435257429861,input_sources/cvefixes/06_vulnerable_altivec_unavailable_exception.c,9127cb7e533655799825424975b039e74678562a11f6c818e15f1047e86febf2,15,476
cvefixes,07_fixed_videobuf_vm_close,0,fixed,CVEfixes_method_change,videobuf_vm_close,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=149153045266376,input_sources/cvefixes/07_fixed_videobuf_vm_close.c,e67ee7f257c859e7f0601cf071d68bcdc970245998f2ffbc65d4abbbc82c4382,31,632
cvefixes,08_vulnerable_videobuf_vm_close,1,vulnerable,CVEfixes_method_change,videobuf_vm_close,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=16963718210733,input_sources/cvefixes/08_vulnerable_videobuf_vm_close.c,596577f076bb4ef187689273e380ca1e146e919c64b184da16da07ce9feedee6,31,632
cvefixes,09_fixed_netlbl_cipsov4_add_common,0,fixed,CVEfixes_method_change,netlbl_cipsov4_add_common,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=129442951132506,input_sources/cvefixes/09_fixed_netlbl_cipsov4_add_common.c,008d887acf304db190544ec2f2dda9b7a8a7bf7c5ea6a48d2b5476a78e5ba6fb,26,676
cvefixes,10_vulnerable_netlbl_cipsov4_add_common,1,vulnerable,CVEfixes_method_change,netlbl_cipsov4_add_common,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=225901715196203,input_sources/cvefixes/10_vulnerable_netlbl_cipsov4_add_common.c,a8848c9b766f5e4d2e9752fe377d04ac3fb837ce51841ba8af347f5df8d2b1d1,26,670
cvefixes,11_fixed_generic_perform_write,0,fixed,CVEfixes_method_change,generic_perform_write,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=186453125601655,input_sources/cvefixes/11_fixed_generic_perform_write.c,34e99cea1c3cd77b96228ee21325719dba82c04d56910e4c2d0363900d3e8c9e,87,2340
cvefixes,12_vulnerable_generic_perform_write,1,vulnerable,CVEfixes_method_change,generic_perform_write,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=201338623636920,input_sources/cvefixes/12_vulnerable_generic_perform_write.c,95e4e7b409c4e164c85f39fd1e356b870b8c50b9827c95081c4d8bc818495b3c,87,2340
cvefixes,13_fixed_pango_glyph_string_set_size,0,fixed,CVEfixes_method_change,pango_glyph_string_set_size,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=228523561307259,input_sources/cvefixes/13_fixed_pango_glyph_string_set_size.c,178405ae125650729e2295221ac60117a5000db6552bde12f919b3a9bf57e5b4,37,844
cvefixes,14_vulnerable_pango_glyph_string_set_size,1,vulnerable,CVEfixes_method_change,pango_glyph_string_set_size,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=25329025014189,input_sources/cvefixes/14_vulnerable_pango_glyph_string_set_size.c,73e3b8fa81e1f87d23c0f47a1bec4235fe55a5d44ccd89df8108068d6bb647cc,23,607
cvefixes,15_fixed_decode_entities,0,fixed,CVEfixes_method_change,decode_entities,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=103145229878416,input_sources/cvefixes/15_fixed_decode_entities.c,f6e4c9688928d372271c37037e48e9392452f6b149e429885bf324b4e78beeb3,210,4387
cvefixes,16_vulnerable_decode_entities,1,vulnerable,CVEfixes_method_change,decode_entities,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=249996971927664,input_sources/cvefixes/16_vulnerable_decode_entities.c,d8caa28175aa35ae8dbdb539938d4de28436bb2ff468cc78ff6df26e0526afbb,210,4325
cvefixes,17_vulnerable_eval_js,1,vulnerable,CVEfixes_method_change,eval_js,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=129017589906646,input_sources/cvefixes/17_vulnerable_eval_js.c,233a71e40f37a42983b2adf1eaa0aea09842b2cc593d61e5b84d3a79f6c51787,46,1607
cvefixes,18_vulnerable_try_read_command,1,vulnerable,CVEfixes_method_change,try_read_command,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=16981701685197,input_sources/cvefixes/18_vulnerable_try_read_command.c,2341771a1b147df3a2245d20cdbdf72831fe2d165fea2f28495b14d7bd199b5a,128,4114
cvefixes,19_fixed_try_read_network,0,fixed,CVEfixes_method_change,try_read_network,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=176609069297964,input_sources/cvefixes/19_fixed_try_read_network.c,30c8323cda94a362de8ef4e4c237eebd521aaa3d9a7d77a7e59884052226c9a1,58,1781
cvefixes,20_vulnerable_irssi_ssl_handshake,1,vulnerable,CVEfixes_method_change,irssi_ssl_handshake,D:\Download\cvefixes_dataset_v1_0_0\CVEfixes_full.db#method_change_id=121754586080604,input_sources/cvefixes/20_vulnerable_irssi_ssl_handshake.c,392394405ab14a00fd21cf838d01183c4b02bdc0be62d56e85500512a64470bb,41,1152
