sample_id,dataset,source_file,label,status,notes
cwe119__08_non_vulnerable_10_non-vulnerable_43,cwe119,input_sources/cwe119/08_non_vulnerable_10_non-vulnerable_43.c,0,staged,
cwe119__09_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,cwe119,input_sources/cwe119/09_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,
cwe119__10_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,cwe119,input_sources/cwe119/10_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,0,staged,
cwe119__11_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,cwe119,input_sources/cwe119/11_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,
cwe119__12_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,cwe119,input_sources/cwe119/12_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,0,staged,
cwe119__13_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,cwe119,input_sources/cwe119/13_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,
cwe119__14_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,cwe119,input_sources/cwe119/14_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,0,staged,
cwe119__15_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,cwe119,input_sources/cwe119/15_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,
cwe119__16_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,cwe119,input_sources/cwe119/16_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,0,staged,
cwe119__17_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,cwe119,input_sources/cwe119/17_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,
cwe119__18_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,cwe119,input_sources/cwe119/18_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,0,staged,
cwe119__19_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,cwe119,input_sources/cwe119/19_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,
cwe119__20_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,cwe119,input_sources/cwe119/20_vulnerable_CWE121_Stack_Based_Buffer_Overflow__.c,1,staged,
devign__01_vulnerable_static_uint32_t_sh_serial_ioport_rea,devign,input_sources/devign/01_vulnerable_static_uint32_t_sh_serial_ioport_rea.c,1,staged,
devign__02_vulnerable_static_int_tight_compress_data,devign,input_sources/devign/02_vulnerable_static_int_tight_compress_data.c,1,staged,
devign__03_vulnerable_void_ff_insert_pad,devign,input_sources/devign/03_vulnerable_void_ff_insert_pad.c,1,staged,
devign__04_non_vulnerable_static_av_always_inline_int_dnxhd_de,devign,input_sources/devign/04_non_vulnerable_static_av_always_inline_int_dnxhd_de.c,0,staged,
devign__05_non_vulnerable_static_int_slb_lookup,devign,input_sources/devign/05_non_vulnerable_static_int_slb_lookup.c,0,staged,
devign__06_non_vulnerable_static_void_test_qemu_strtosz_units,devign,input_sources/devign/06_non_vulnerable_static_void_test_qemu_strtosz_units.c,0,staged,
devign__07_vulnerable_static_inline_int_usb_bt_fifo_dequeu,devign,input_sources/devign/07_vulnerable_static_inline_int_usb_bt_fifo_dequeu.c,1,staged,
devign__08_non_vulnerable_build_tpm_tcpa,devign,input_sources/devign/08_non_vulnerable_build_tpm_tcpa.c,0,staged,
devign__09_non_vulnerable_static_ExitStatus_gen_store_conditio,devign,input_sources/devign/09_non_vulnerable_static_ExitStatus_gen_store_conditio.c,0,staged,
devign__10_non_vulnerable_static_void_kvm_virtio_pci_vq_vector,devign,input_sources/devign/10_non_vulnerable_static_void_kvm_virtio_pci_vq_vector.c,0,staged,
devign__11_non_vulnerable_vnc_display_setup_auth,devign,input_sources/devign/11_non_vulnerable_vnc_display_setup_auth.c,0,staged,
devign__12_vulnerable_static_inline_void_qtrle_decode_2n4b,devign,input_sources/devign/12_vulnerable_static_inline_void_qtrle_decode_2n4b.c,1,staged,
devign__13_non_vulnerable_static_void_sctlr_write,devign,input_sources/devign/13_non_vulnerable_static_void_sctlr_write.c,0,staged,
devign__14_vulnerable_static_int_decode_mb_info,devign,input_sources/devign/14_vulnerable_static_int_decode_mb_info.c,1,staged,
devign__15_vulnerable_static_void_mm_rearm_timer,devign,input_sources/devign/15_vulnerable_static_void_mm_rearm_timer.c,1,staged,
devign__16_vulnerable_static_int_mxg_update_cache,devign,input_sources/devign/16_vulnerable_static_int_mxg_update_cache.c,1,staged,
devign__17_vulnerable_static_void_FUNCC,devign,input_sources/devign/17_vulnerable_static_void_FUNCC.c,1,staged,
devign__18_vulnerable_mpeg1_decode_sequence,devign,input_sources/devign/18_vulnerable_mpeg1_decode_sequence.c,1,staged,
devign__19_non_vulnerable_const_char_get_feature_xml,devign,input_sources/devign/19_non_vulnerable_const_char_get_feature_xml.c,0,staged,
devign__20_non_vulnerable_static_int_vfio_set_resample_eventfd,devign,input_sources/devign/20_non_vulnerable_static_int_vfio_set_resample_eventfd.c,0,staged,
