/workspace/src/models/modules/gnns.py:39: UserWarning: 'nn.glob.GlobalAttention' is deprecated, use 'nn.aggr.AttentionalAggregation' instead
  self.attpool = GlobalAttention(torch.nn.Linear(config.hidden_size, 1))
[1/60] cvefixes__01_vulnerable_expand_dynamic_string_token: baseline p=0.071344, label=0, PDG=9/15, XFG=3
  node_attribute_modify b=25 s=17: applied=25, nested=True, p=0.798063, flip=True, error=none
  node_attribute_modify b=1 s=29: applied=1, nested=True, p=0.070973, flip=False, error=none
  node_attribute_modify b=3 s=29: applied=3, nested=True, p=0.003170, flip=False, error=none
  node_attribute_modify b=5 s=29: applied=5, nested=True, p=0.655180, flip=True, error=none
  node_attribute_modify b=7 s=29: applied=7, nested=True, p=0.822212, flip=True, error=none
  node_attribute_modify b=9 s=29: applied=9, nested=True, p=0.837455, flip=True, error=none
  node_attribute_modify b=11 s=29: applied=11, nested=True, p=0.804446, flip=True, error=none
  node_attribute_modify b=13 s=29: applied=13, nested=True, p=0.800700, flip=True, error=none
  node_attribute_modify b=15 s=29: applied=15, nested=True, p=0.698017, flip=True, error=none
  node_attribute_modify b=20 s=29: applied=20, nested=True, p=0.890833, flip=True, error=none
  node_attribute_modify b=25 s=29: applied=25, nested=True, p=0.733417, flip=True, error=none
  node_attribute_modify b=1 s=42: applied=1, nested=True, p=0.719877, flip=True, error=none
  node_attribute_modify b=3 s=42: applied=3, nested=True, p=0.806348, flip=True, error=none
  node_attribute_modify b=5 s=42: applied=5, nested=True, p=0.868541, flip=True, error=none
  node_attribute_modify b=7 s=42: applied=7, nested=True, p=0.868541, flip=True, error=none
  node_attribute_modify b=9 s=42: applied=9, nested=True, p=0.868541, flip=True, error=none
  node_attribute_modify b=11 s=42: applied=11, nested=True, p=0.785094, flip=True, error=none
  node_attribute_modify b=13 s=42: applied=13, nested=True, p=0.627341, flip=True, error=none
  node_attribute_modify b=15 s=42: applied=15, nested=True, p=0.842752, flip=True, error=none
  node_attribute_modify b=20 s=42: applied=20, nested=True, p=0.680258, flip=True, error=none
  node_attribute_modify b=25 s=42: applied=25, nested=True, p=0.809883, flip=True, error=none
  node_attribute_modify b=1 s=61: applied=1, nested=True, p=0.016850, flip=False, error=none
  node_attribute_modify b=3 s=61: applied=3, nested=True, p=0.076734, flip=False, error=none
  node_attribute_modify b=5 s=61: applied=5, nested=True, p=0.012123, flip=False, error=none
  node_attribute_modify b=7 s=61: applied=7, nested=True, p=0.006116, flip=False, error=none
  node_attribute_modify b=9 s=61: applied=9, nested=True, p=0.001708, flip=False, error=none
  node_attribute_modify b=11 s=61: applied=11, nested=True, p=0.123962, flip=False, error=none
  node_attribute_modify b=13 s=61: applied=13, nested=True, p=0.000000, flip=False, error=none
  node_attribute_modify b=15 s=61: applied=15, nested=True, p=0.000000, flip=False, error=none
  node_attribute_modify b=20 s=61: applied=20, nested=True, p=0.798509, flip=True, error=none
  node_attribute_modify b=25 s=61: applied=25, nested=True, p=0.837064, flip=True, error=none
  node_attribute_modify b=1 s=73: applied=1, nested=True, p=0.049800, flip=False, error=none
  node_attribute_modify b=3 s=73: applied=3, nested=True, p=0.015009, flip=False, error=none
  node_attribute_modify b=5 s=73: applied=5, nested=True, p=0.294378, flip=False, error=none
  node_attribute_modify b=7 s=73: applied=7, nested=True, p=0.382776, flip=False, error=none
  node_attribute_modify b=9 s=73: applied=9, nested=True, p=0.694834, flip=True, error=none
  node_attribute_modify b=11 s=73: applied=11, nested=True, p=0.782170, flip=True, error=none
  node_attribute_modify b=13 s=73: applied=13, nested=True, p=0.782170, flip=True, error=none
  node_attribute_modify b=15 s=73: applied=15, nested=True, p=0.822570, flip=True, error=none
  node_attribute_modify b=20 s=73: applied=20, nested=True, p=0.790332, flip=True, error=none
  node_attribute_modify b=25 s=73: applied=25, nested=True, p=0.809883, flip=True, error=none
  node_attribute_modify b=1 s=89: applied=1, nested=True, p=0.019848, flip=False, error=none
  node_attribute_modify b=3 s=89: applied=3, nested=True, p=0.541145, flip=True, error=none
  node_attribute_modify b=5 s=89: applied=5, nested=True, p=0.609383, flip=True, error=none
  node_attribute_modify b=7 s=89: applied=7, nested=True, p=0.593419, flip=True, error=none
  node_attribute_modify b=9 s=89: applied=9, nested=True, p=0.619273, flip=True, error=none
  node_attribute_modify b=11 s=89: applied=11, nested=True, p=0.631757, flip=True, error=none
  node_attribute_modify b=13 s=89: applied=13, nested=True, p=0.575446, flip=True, error=none
  node_attribute_modify b=15 s=89: applied=15, nested=True, p=0.537802, flip=True, error=none
  node_attribute_modify b=20 s=89: applied=20, nested=True, p=0.635887, flip=True, error=none
  node_attribute_modify b=25 s=89: applied=25, nested=True, p=0.323932, flip=False, error=none
  node_attribute_modify b=1 s=101: applied=1, nested=True, p=0.073991, flip=False, error=none
  node_attribute_modify b=3 s=101: applied=3, nested=True, p=0.682017, flip=True, error=none
  node_attribute_modify b=5 s=101: applied=5, nested=True, p=0.720116, flip=True, error=none
  node_attribute_modify b=7 s=101: applied=7, nested=True, p=0.374150, flip=False, error=none
  node_attribute_modify b=9 s=101: applied=9, nested=True, p=0.204997, flip=False, error=none
  node_attribute_modify b=11 s=101: applied=11, nested=True, p=0.464565, flip=False, error=none
  node_attribute_modify b=13 s=101: applied=13, nested=True, p=0.561258, flip=True, error=none
  node_attribute_modify b=15 s=101: applied=15, nested=True, p=0.778548, flip=True, error=none
  node_attribute_modify b=20 s=101: applied=20, nested=True, p=0.878379, flip=True, error=none
  node_attribute_modify b=25 s=101: applied=25, nested=True, p=0.702083, flip=True, error=none
  node_attribute_modify b=1 s=137: applied=1, nested=True, p=0.002579, flip=False, error=none
  node_attribute_modify b=3 s=137: applied=3, nested=True, p=0.006538, flip=False, error=none
  node_attribute_modify b=5 s=137: applied=5, nested=True, p=0.007574, flip=False, error=none
  node_attribute_modify b=7 s=137: applied=7, nested=True, p=0.001659, flip=False, error=none
  node_attribute_modify b=9 s=137: applied=9, nested=True, p=0.069039, flip=False, error=none
  node_attribute_modify b=11 s=137: applied=11, nested=True, p=0.052725, flip=False, error=none
  node_attribute_modify b=13 s=137: applied=13, nested=True, p=0.021804, flip=False, error=none
  node_attribute_modify b=15 s=137: applied=15, nested=True, p=0.027151, flip=False, error=none
  node_attribute_modify b=20 s=137: applied=20, nested=True, p=0.676545, flip=True, error=none
  node_attribute_modify b=25 s=137: applied=25, nested=True, p=0.341953, flip=False, error=none
  node_attribute_modify b=1 s=2026: applied=1, nested=True, p=0.005146, flip=False, error=none
  node_attribute_modify b=3 s=2026: applied=3, nested=True, p=0.014385, flip=False, error=none
  node_attribute_modify b=5 s=2026: applied=5, nested=True, p=0.080699, flip=False, error=none
  node_attribute_modify b=7 s=2026: applied=7, nested=True, p=0.590823, flip=True, error=none
  node_attribute_modify b=9 s=2026: applied=9, nested=True, p=0.519799, flip=True, error=none
  node_attribute_modify b=11 s=2026: applied=11, nested=True, p=0.599669, flip=True, error=none
  node_attribute_modify b=13 s=2026: applied=13, nested=True, p=0.478421, flip=False, error=none
  node_attribute_modify b=15 s=2026: applied=15, nested=True, p=0.560234, flip=True, error=none
  node_attribute_modify b=20 s=2026: applied=20, nested=True, p=0.437567, flip=False, error=none
  node_attribute_modify b=25 s=2026: applied=25, nested=True, p=0.752645, flip=True, error=none
  edge_add b=1 s=7: applied=1, nested=True, p=0.068714, flip=False, error=none
  edge_add b=3 s=7: applied=3, nested=True, p=0.063172, flip=False, error=none
  edge_add b=5 s=7: applied=5, nested=True, p=0.071928, flip=False, error=none
  edge_add b=7 s=7: applied=7, nested=True, p=0.045940, flip=False, error=none
  edge_add b=9 s=7: applied=9, nested=True, p=0.065236, flip=False, error=none
  edge_add b=11 s=7: applied=11, nested=True, p=0.057057, flip=False, error=none
  edge_add b=13 s=7: applied=13, nested=True, p=0.059029, flip=False, error=none
  edge_add b=15 s=7: applied=15, nested=True, p=0.074009, flip=False, error=none
  edge_add b=20 s=7: applied=20, nested=True, p=0.069941, flip=False, error=none
  edge_add b=25 s=7: applied=25, nested=True, p=0.047503, flip=False, error=none
  edge_add b=1 s=17: applied=1, nested=True, p=0.060416, flip=False, error=none
  edge_add b=3 s=17: applied=3, nested=True, p=0.059496, flip=False, error=none
  edge_add b=5 s=17: applied=5, nested=True, p=0.051634, flip=False, error=none
  edge_add b=7 s=17: applied=7, nested=True, p=0.056711, flip=False, error=none
  edge_add b=9 s=17: applied=9, nested=True, p=0.080187, flip=False, error=none
  edge_add b=11 s=17: applied=11, nested=True, p=0.048950, flip=False, error=none
  edge_add b=13 s=17: applied=13, nested=True, p=0.031575, flip=False, error=none
  edge_add b=15 s=17: applied=15, nested=True, p=0.036076, flip=False, error=none
  edge_add b=20 s=17: applied=20, nested=True, p=0.033312, flip=False, error=none
  edge_add b=25 s=17: applied=25, nested=True, p=0.024432, flip=False, error=none
  edge_add b=1 s=29: applied=1, nested=True, p=0.059602, flip=False, error=none
  edge_add b=3 s=29: applied=3, nested=True, p=0.048246, flip=False, error=none
  edge_add b=5 s=29: applied=5, nested=True, p=0.038262, flip=False, error=none
  edge_add b=7 s=29: applied=7, nested=True, p=0.016802, flip=False, error=none
  edge_add b=9 s=29: applied=9, nested=True, p=0.016181, flip=False, error=none
  edge_add b=11 s=29: applied=11, nested=True, p=0.019681, flip=False, error=none
  edge_add b=13 s=29: applied=13, nested=True, p=0.019274, flip=False, error=none
  edge_add b=15 s=29: applied=15, nested=True, p=0.025260, flip=False, error=none
  edge_add b=20 s=29: applied=20, nested=True, p=0.023315, flip=False, error=none
  edge_add b=25 s=29: applied=25, nested=True, p=0.019893, flip=False, error=none
  edge_add b=1 s=42: applied=1, nested=True, p=0.066497, flip=False, error=none
  edge_add b=3 s=42: applied=3, nested=True, p=0.053276, flip=False, error=none
  edge_add b=5 s=42: applied=5, nested=True, p=0.047862, flip=False, error=none
  edge_add b=7 s=42: applied=7, nested=True, p=0.089336, flip=False, error=none
  edge_add b=9 s=42: applied=9, nested=True, p=0.113844, flip=False, error=none
  edge_add b=11 s=42: applied=11, nested=True, p=0.068158, flip=False, error=none
  edge_add b=13 s=42: applied=13, nested=True, p=0.032568, flip=False, error=none
  edge_add b=15 s=42: applied=15, nested=True, p=0.015128, flip=False, error=none
  edge_add b=20 s=42: applied=20, nested=True, p=0.019867, flip=False, error=none
  edge_add b=25 s=42: applied=25, nested=True, p=0.012311, flip=False, error=none
  edge_add b=1 s=61: applied=1, nested=True, p=0.033780, flip=False, error=none
