action,budget,seed_count,attempted,successful,failed,fully_applied,flips,attack_eligible,attack_successes,attack_success_rate,mean_delta_probability,mean_absolute_delta_probability,max_absolute_delta_probability,mean_applied_count,mean_runtime_ms
edge_add,9,10,580,580,0,580,28,300,10,0.03333333333333333,-0.06633681762587182,0.1040085573558004,0.9773567821830511,9.0,52.070887455176
edge_add,11,10,580,580,0,570,28,300,11,0.03666666666666667,-0.07828655310495683,0.11167958006236087,0.9999994930852267,10.982758620689655,53.907073829306434
edge_add,13,10,580,580,0,570,29,300,12,0.04,-0.0841993492413187,0.12178987869225523,0.9999995512729711,12.948275862068966,53.474713074129355
edge_add,15,10,580,580,0,560,36,300,14,0.04666666666666667,-0.08948448325289897,0.13032028852705976,0.9999996094309545,14.879310344827585,55.830546979303044
edge_add,20,10,580,580,0,490,38,300,13,0.043333333333333335,-0.09963259679483889,0.14288958776080599,0.9999756177185191,19.224137931034484,57.51555686034988
edge_add,25,10,580,580,0,480,39,300,12,0.04,-0.10604418147910336,0.1494598830183578,0.9999996282849555,23.43103448275862,66.28834327413786
edge_delete,1,10,580,580,0,580,2,300,2,0.006666666666666667,0.012096487170883543,0.025845936024020594,0.6745801477736677,1.0,49.66932167586328
edge_delete,3,10,580,540,40,540,12,277,8,0.02888086642599278,-0.021218026293411067,0.07070001204740253,0.9529990600422025,3.0,50.59906454259902
edge_delete,5,10,580,444,136,444,24,237,13,0.05485232067510549,-0.008364888529100943,0.0656571935360616,0.9755573067814112,5.0,57.188715923435005
edge_delete,7,10,580,418,162,418,29,224,16,0.07142857142857142,0.005475594641537278,0.07775555832895358,0.9755573067814112,7.0,58.51744871530405
edge_delete,9,10,580,384,196,384,28,198,8,0.04040404040404041,0.025011323487591015,0.08709453311925557,0.9755573011934757,9.0,63.95913176042001
edge_delete,11,10,580,373,207,373,34,193,7,0.03626943005181347,0.023790919483536586,0.10663583044166232,0.9974849896971136,11.0,64.51589600536273
edge_delete,13,10,580,345,235,345,36,169,6,0.03550295857988166,0.019068373771051986,0.12226495438097336,0.9999733497024863,13.0,68.8462552956513
edge_delete,15,10,580,324,256,324,38,154,7,0.045454545454545456,0.01692346078085937,0.1395930263407015,0.9999733497024863,15.0,71.07807489813922
edge_delete,20,10,580,310,270,310,37,150,9,0.06,0.04754768573713358,0.14728301855831508,0.9999733497024863,20.0,74.73900704517438
edge_delete,25,10,580,276,304,276,23,130,5,0.038461538461538464,0.06388955318022775,0.12174740187450382,0.9999996422944049,25.0,78.5536751449353
edge_reconnect,1,10,580,580,0,580,11,300,4,0.013333333333333334,-0.017798058375458684,0.05888371658020436,0.9713499527424574,1.0,47.932833725856035
edge_reconnect,3,10,580,578,2,578,21,299,7,0.023411371237458192,-0.037415961593350394,0.0694236906626377,0.9688381180167198,3.0,50.452793569207515
edge_reconnect,5,10,580,578,2,578,26,299,7,0.023411371237458192,-0.05824847196983624,0.08251894457961073,0.9639779105782509,5.0,51.44208956920515
edge_reconnect,7,10,580,573,7,573,24,297,7,0.02356902356902357,-0.053906642073603885,0.09217276555934163,0.9639779105782509,7.0,53.151399842928456
edge_reconnect,9,10,580,580,0,580,35,300,10,0.03333333333333333,-0.05223963601602319,0.10106683078751681,0.9253555506403035,9.0,52.95448302757912
edge_reconnect,11,10,580,578,2,578,34,299,8,0.026755852842809364,-0.04993708985386793,0.09609022802733443,0.9788366127759218,11.0,54.36743849999887
edge_reconnect,13,10,580,578,2,578,33,299,10,0.033444816053511704,-0.06290699496681061,0.10472813379913563,0.9998808878081036,13.0,57.180358422149915
edge_reconnect,15,10,580,571,9,571,31,296,9,0.030405405405405407,-0.05333217847689797,0.08740762175562883,0.9979780404828489,15.0,59.64121538529357
edge_reconnect,20,10,580,580,0,580,47,300,13,0.043333333333333335,-0.0650878622270463,0.10410747312823929,0.9999390903685708,20.0,59.88479644655585
edge_reconnect,25,10,580,576,4,576,38,298,10,0.03355704697986577,-0.07619245231904409,0.11175589693423246,0.9982488072710112,25.0,62.716333824641794
