action,budget,seed_count,count,flips,attack_eligible,attack_successes,attack_success_rate,avg_delta_prob,min_delta_prob,max_delta_prob,avg_delta_nodes,avg_delta_edges,mean_applied_count,attempted,failed
node_attribute_modify,15,10,580,60,300,28,0.09333333333333334,-0.027276076043820364,-0.9958047473337501,0.9970993904862553,0.0,0.0,14.955172413793104,580,0
node_attribute_modify,20,10,580,78,300,37,0.12333333333333334,-0.017121691269453686,-0.9958047473337501,0.9781581072602421,0.0,0.0,19.875862068965517,580,0
node_attribute_modify,25,10,580,87,300,40,0.13333333333333333,-0.010354544396290853,-0.9875174509361386,0.9603971152610029,0.0,0.0,24.78965517241379,580,0
edge_add,1,10,580,17,300,6,0.02,-0.013966141544296339,-0.9253554540174349,0.38366597529966384,0.0,1.0,1.0,580,0
edge_add,3,10,580,33,300,12,0.04,-0.01805286361050883,-0.9932221374474466,0.8146100873540192,0.0,3.0,3.0,580,0
edge_add,5,10,580,33,300,9,0.03,-0.04020822009947574,-0.9993421830004081,0.8370496267865448,0.0,5.0,5.0,580,0
edge_add,7,10,580,32,300,12,0.04,-0.0550096034575805,-0.9842111691832542,0.9267705316136627,0.0,7.0,7.0,580,0
edge_add,9,10,580,28,300,10,0.03333333333333333,-0.06633681762587182,-0.9773567821830511,0.9267705316136627,0.0,9.0,9.0,580,0
edge_add,11,10,580,28,300,11,0.03666666666666667,-0.07828655310495683,-0.9999994930852267,0.860974573571518,0.0,10.982758620689655,10.982758620689655,580,0
edge_add,13,10,580,29,300,12,0.04,-0.0841993492413187,-0.9999995512729711,0.8529721731732636,0.0,12.948275862068966,12.948275862068966,580,0
edge_add,15,10,580,36,300,14,0.04666666666666667,-0.08948448325289897,-0.9999996094309545,0.8621233338902741,0.0,14.879310344827585,14.879310344827585,580,0
edge_add,20,10,580,38,300,13,0.043333333333333335,-0.09963259679483889,-0.9999756177185191,0.8727772469113617,0.0,19.224137931034484,19.224137931034484,580,0
edge_add,25,10,580,39,300,12,0.04,-0.10604418147910336,-0.9999996282849555,0.8445207709859162,0.0,23.43103448275862,23.43103448275862,580,0
edge_delete,1,10,580,2,300,2,0.006666666666666667,0.012096487170883543,-0.5571020245552063,0.6745801477736677,0.0,-1.0,1.0,580,0
edge_delete,3,10,540,12,277,8,0.02888086642599278,-0.021218026293411067,-0.9253554540174349,0.9529990600422025,0.0,-3.0,3.0,580,40
edge_delete,5,10,444,24,237,13,0.05485232067510549,-0.008364888529100943,-0.9755573067814112,0.9529990600422025,0.0,-5.0,5.0,580,136
edge_delete,7,10,418,29,224,16,0.07142857142857142,0.005475594641537278,-0.9755573067814112,0.9269825725350529,0.0,-7.0,7.0,580,162
edge_delete,9,10,384,28,198,8,0.04040404040404041,0.025011323487591015,-0.9755573011934757,0.905007247813046,0.0,-9.0,9.0,580,196
edge_delete,11,10,373,34,193,7,0.03626943005181347,0.023790919483536586,-0.9974849896971136,0.9856787997996435,0.0,-11.0,11.0,580,207
edge_delete,13,10,345,36,169,6,0.03550295857988166,0.019068373771051986,-0.9999733497024863,0.9772872406756505,0.0,-13.0,13.0,580,235
edge_delete,15,10,324,38,154,7,0.045454545454545456,0.01692346078085937,-0.9999733497024863,0.9903348593506962,0.0,-15.0,15.0,580,256
edge_delete,20,10,310,37,150,9,0.06,0.04754768573713358,-0.9999733497024863,0.9968194274697453,0.0,-20.0,20.0,580,270
edge_delete,25,10,276,23,130,5,0.038461538461538464,0.06388955318022775,-0.9999996422944049,0.9989039348438382,0.0,-25.0,25.0,580,304
edge_reconnect,1,10,580,11,300,4,0.013333333333333334,-0.017798058375458684,-0.9713499527424574,0.30874256789684296,0.0,0.0,1.0,580,0
edge_reconnect,3,10,578,21,299,7,0.023411371237458192,-0.037415961593350394,-0.9688381180167198,0.8944136549107498,0.0,0.0,3.0,580,2
edge_reconnect,5,10,578,26,299,7,0.023411371237458192,-0.05824847196983624,-0.9639779105782509,0.39270924618904246,0.0,0.0,5.0,580,2
edge_reconnect,7,10,573,24,297,7,0.02356902356902357,-0.053906642073603885,-0.9639779105782509,0.7546905490453355,0.0,0.0,7.0,580,7
edge_reconnect,9,10,580,35,300,10,0.03333333333333333,-0.05223963601602319,-0.9253555506403035,0.8944136549107498,0.0,0.0,9.0,580,0
edge_reconnect,11,10,578,34,299,8,0.026755852842809364,-0.04993708985386793,-0.9788366127759218,0.9467074919812148,0.0,0.0,11.0,580,2
edge_reconnect,13,10,578,33,299,10,0.033444816053511704,-0.06290699496681061,-0.9998808878081036,0.9467074919812148,0.0,0.0,13.0,580,2
edge_reconnect,15,10,571,31,296,9,0.030405405405405407,-0.05333217847689797,-0.9979780404828489,0.9467074919812148,0.0,0.0,15.0,580,9
edge_reconnect,20,10,580,47,300,13,0.043333333333333335,-0.0650878622270463,-0.9999390903685708,0.8944136549107498,0.0,0.0,20.0,580,0
edge_reconnect,25,10,576,38,298,10,0.03355704697986577,-0.07619245231904409,-0.9982488072710112,0.9755005746192182,0.0,0.0,25.0,580,4
