sample,function,true_label,baseline_correct,status,label,prob,nodes,edges,xfg_count
cwe119__08_non_vulnerable_10_non-vulnerable_43,bad,0,False,success,1,0.9253555536270142,16,18,8
cwe119__09_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,False,success,0,0.1622048169374466,5,4,4
cwe119__10_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,0,True,success,0,0.1622048169374466,5,4,4
cwe119__11_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,False,success,0,0.33241280913352966,5,4,4
cwe119__12_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,0,True,success,0,0.33241280913352966,5,4,4
cwe119__13_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,False,success,0,0.47094735503196716,7,5,8
cwe119__14_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,0,True,success,0,0.47094735503196716,7,5,8
cwe119__15_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,False,success,0,0.47094735503196716,7,5,8
cwe119__16_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,0,True,success,0,0.47094735503196716,7,5,8
cwe119__17_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,False,success,0,0.1931895762681961,5,4,3
cwe119__18_non_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,0,True,success,0,0.1931895762681961,5,4,3
cwe119__19_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,False,success,0,0.263123095035553,5,4,3
cwe119__20_vulnerable_CWE121_Stack_Based_Buffer_Overflow__,unknown,1,False,success,0,0.4551286995410919,7,5,7
devign__01_vulnerable_static_uint32_t_sh_serial_ioport_rea,sh_serial_ioport_read,1,False,success,0,3.894046676578e-05,78,190,32
devign__02_vulnerable_static_int_tight_compress_data,tight_compress_data,1,False,success,0,7.848731797821529e-08,24,54,21
devign__03_vulnerable_void_ff_insert_pad,ff_insert_pad,1,False,success,0,0.0002570701763033867,14,36,13
devign__04_non_vulnerable_static_av_always_inline_int_dnxhd_de,dnxhd_decode_dct_block,0,True,success,0,0.07784902304410934,67,160,49
devign__05_non_vulnerable_static_int_slb_lookup,slb_lookup,0,False,success,1,0.9999996423721313,26,29,4
devign__06_non_vulnerable_static_void_test_qemu_strtosz_units,test_qemu_strtosz_units,0,True,success,0,0.001614067587070167,25,24,8
devign__07_vulnerable_static_inline_int_usb_bt_fifo_dequeu,usb_bt_fifo_dequeue,1,False,success,0,6.548671941073826e-20,18,45,20
devign__08_non_vulnerable_build_tpm_tcpa,unknown,0,True,success,0,5.65599330002442e-05,10,14,4
devign__09_non_vulnerable_static_ExitStatus_gen_store_conditio,gen_store_conditional,0,,failed,,,,,
devign__10_non_vulnerable_static_void_kvm_virtio_pci_vq_vector,kvm_virtio_pci_vq_vector_release,0,True,success,0,6.079402936620681e-08,11,12,7
devign__11_non_vulnerable_vnc_display_setup_auth,if,0,True,success,0,3.628031919333807e-08,37,54,15
devign__12_vulnerable_static_inline_void_qtrle_decode_2n4b,qtrle_decode_2n4bpp,1,False,success,0,3.4068946774823416e-08,36,131,35
devign__13_non_vulnerable_static_void_sctlr_write,sctlr_write,0,True,success,0,6.299678556587196e-10,7,9,2
devign__14_vulnerable_static_int_decode_mb_info,decode_mb_info,1,False,success,0,0.22351022064685822,66,217,57
devign__15_vulnerable_static_void_mm_rearm_timer,mm_rearm_timer,1,False,success,0,8.52570155984722e-06,9,10,2
devign__16_vulnerable_static_int_mxg_update_cache,mxg_update_cache,1,False,success,0,1.86682691527551e-09,16,41,16
devign__17_vulnerable_static_void_FUNCC,FUNCC,1,False,success,0,0.0760723277926445,5,7,5
devign__18_vulnerable_mpeg1_decode_sequence,mpeg1_decode_sequence,1,True,success,1,0.8990588188171387,59,149,55
devign__19_non_vulnerable_const_char_get_feature_xml,unknown,0,True,success,0,3.863283927785233e-05,27,47,13
devign__20_non_vulnerable_static_int_vfio_set_resample_eventfd,vfio_set_resample_eventfd,0,True,success,0,0.11510657519102097,19,22,10
